2025-04-10 07:47:33,238 INFO    MainThread:22852 [wandb_setup.py:_flush():76] Configure stats pid to 22852
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_setup.py:_flush():76] Loading settings from C:\Users\rnjsg\.config\wandb\settings
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_setup.py:_flush():76] Loading settings from C:\Users\rnjsg\IsaacLab\isaac_berkeley_humanoid\wandb\settings
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts\\rsl_rl\\train.py', 'program': 'C:\\Users\\rnjsg\\IsaacLab\\isaac_berkeley_humanoid\\scripts\\rsl_rl\\train.py'}
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_init.py:_log_setup():461] Logging user logs to C:\Users\rnjsg\IsaacLab\isaac_berkeley_humanoid\wandb\offline-run-20250410_074733-99ihriuh\logs\debug.log
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_init.py:_log_setup():462] Logging internal logs to C:\Users\rnjsg\IsaacLab\isaac_berkeley_humanoid\wandb\offline-run-20250410_074733-99ihriuh\logs\debug-internal.log
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_init.py:init():495] calling init triggers
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {'task': 'Velocity-Flat-Berkeley-Humanoid-v0', 'num_envs': 8192, 'max_iterations': None}
2025-04-10 07:47:33,239 INFO    MainThread:22852 [wandb_init.py:init():548] starting backend
2025-04-10 07:47:33,239 INFO    MainThread:22852 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-04-10 07:47:33,241 INFO    MainThread:22852 [backend.py:ensure_launched():217] starting backend process...
2025-04-10 07:47:33,302 INFO    MainThread:22852 [backend.py:ensure_launched():222] started backend process with pid: 3952
2025-04-10 07:47:33,303 INFO    MainThread:22852 [wandb_init.py:init():558] backend started and connected
2025-04-10 07:47:33,303 INFO    MainThread:22852 [wandb_init.py:init():634] updated telemetry
2025-04-10 07:47:33,323 INFO    MainThread:22852 [wandb_init.py:init():700] starting run threads in backend
2025-04-10 07:47:34,531 INFO    MainThread:22852 [wandb_run.py:_console_start():1893] atexit reg
2025-04-10 07:47:34,531 INFO    MainThread:22852 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.WRAP
2025-04-10 07:47:34,531 INFO    MainThread:22852 [wandb_run.py:_redirect():1803] Wrapping output streams.
2025-04-10 07:47:34,534 INFO    MainThread:22852 [wandb_run.py:_redirect():1827] Redirects installed.
2025-04-10 07:47:34,534 INFO    MainThread:22852 [wandb_init.py:init():732] run started, returning control to user process
